hidden,dropout,epochs,weight_decay,nin,nout,alpha,ipm,mean_pehe,mean_mae_ate
100,0.1,200,0.0001,1,1,0.0001,mmd,18.41176488664415,13.948948648240831
100,0.1,200,0.0001,1,1,0.0001,wasserstein,18.239548365275066,13.7767972946167
100,0.1,200,0.0001,1,2,0.0001,mmd,18.838062286376953,14.441926850212944
100,0.1,200,0.0001,1,2,0.0001,wasserstein,18.65638330247667,14.26501433054606
100,0.1,200,0.0001,1,3,0.0001,mmd,18.93528980678982,14.508551491631401
100,0.1,200,0.0001,1,3,0.0001,wasserstein,18.829427189297146,14.40596956676907
100,0.1,200,0.0001,2,1,0.0001,mmd,17.582734213935005,13.65993881225586
100,0.1,200,0.0001,2,1,0.0001,wasserstein,17.83482551574707,13.90518135494656
100,0.1,200,0.0001,2,2,0.0001,mmd,18.449414253234863,14.368865807851156
100,0.1,200,0.0001,2,2,0.0001,wasserstein,18.19434271918403,14.08074876997206
100,0.1,200,0.0001,2,3,0.0001,mmd,18.121314896477593,14.052684677971733
100,0.1,200,0.0001,2,3,0.0001,wasserstein,18.487677574157715,14.367017957899305
