hidden,dropout,epochs,weight_decay,nin,nout,alpha,ipm,mean_pehe,mean_mae_ate
100,0.1,200,0.0001,1,1,0.0001,mmd,34.16752921210395,25.545913166469997
100,0.1,200,0.0001,1,1,0.0001,wasserstein,34.56077014075385,25.864280700683594
100,0.1,200,0.0001,1,2,0.0001,mmd,35.02284283108182,26.503140767415363
100,0.1,200,0.0001,1,2,0.0001,wasserstein,35.31607331169976,26.87257406446669
100,0.1,200,0.0001,1,3,0.0001,mmd,34.91679700215658,26.547345267401802
100,0.1,200,0.0001,1,3,0.0001,wasserstein,35.28841092851427,26.886802249484592
100,0.1,200,0.0001,2,1,0.0001,mmd,32.73180654313829,25.162384668986004
100,0.1,200,0.0001,2,1,0.0001,wasserstein,32.69910113016764,25.170006857977974
100,0.1,200,0.0001,2,2,0.0001,mmd,32.72447999318441,25.16174538930257
100,0.1,200,0.0001,2,2,0.0001,wasserstein,33.60173977745904,25.995521863301594
100,0.1,200,0.0001,2,3,0.0001,mmd,32.78424676259359,25.084678649902344
100,0.1,200,0.0001,2,3,0.0001,wasserstein,32.223098542955185,24.681303872002495
